systematic	common	type	chromosome	start	stop	strand	hasTSS
"YAL017W"	"PSK1"	"ORF"	1	119851	123899	"W"	1
"YAL016C-B"	"YAL016C-B"	"ORF"	1	124494	124308	"C"	0
"YAL016W"	"TPD3"	"ORF"	1	124787	126867	"W"	1
"YAL015C"	"NTG1"	"ORF"	1	128205	126726	"C"	1
"YAL014C"	"SYN8"	"ORF"	1	129079	126855	"C"	1
"YAL013W"	"DEP1"	"ORF"	1	129211	130563	"W"	1
"YAL012W"	"CYS3"	"ORF"	1	130731	132083	"W"	1
"YAL011W"	"SWC3"	"ORF"	1	132195	134099	"W"	1
"YAL010C"	"MDM10"	"ORF"	1	135711	134079	"C"	1
"YAL009W"	"SPO7"	"ORF"	1	135811	136611	"W"	1
"YAL008W"	"FUN14"	"ORF"	1	136859	137643	"W"	1
"YAL007C"	"ERP2"	"ORF"	1	138455	137831	"C"	1
"YAL005C"	"SSA1"	"ORF"	1	141535	139327	"C"	1
"YAL003W"	"EFB1"	"ORF"	1	142123	142259	"W"	1
"YAL002W"	"VPS8"	"ORF"	1	143572	147539	"W"	1
"YAL001C"	"TFC3"	"ORF"	1	151007	147775	"C"	1
"YAR002W"	"NUP60"	"ORF"	1	152211	153923	"W"	1
"YAR002C-A"	"ERP1"	"ORF"	1	154766	154007	"C"	1
"YAR003W"	"SWD1"	"ORF"	1	154923	156459	"W"	1
"YAR007C"	"RFA1"	"ORF"	1	158703	156791	"C"	1
"YAR008W"	"SEN34"	"ORF"	1	158851	159803	"W"	1
"YAR014C"	"BUD14"	"ORF"	1	169023	166951	"C"	1
"YAR015W"	"ADE1"	"ORF"	1	169259	170387	"W"	1
"YAR018C"	"KIN3"	"ORF"	1	171711	170432	"C"	1
"YAR019C"	"CDC15"	"ORF"	1	175183	172328	"C"	1
"YAR020C"	"PAU7"	"ORF"	1	177123	176676	"C"	1
"YAR023C"	"YAR023C"	"ORF"	1	179920	179101	"C"	1
"YAR027W"	"UIP3"	"ORF"	1	183620	184595	"W"	1
"YAR028W"	"YAR028W"	"ORF"	1	184827	185691	"W"	1
"YAR029W"	"YAR029W"	"ORF"	1	186213	186717	"W"	1
"YAR031W"	"PRM9"	"ORF"	1	186947	187883	"W"	1
"YAR033W"	"MST28"	"ORF"	1	187999	188983	"W"	1
"YAR035W"	"YAT1"	"ORF"	1	190085	192428	"W"	1
"YAR035C-A"	"YAR035C-A"	"ORF"	1	192513	192153	"C"	1
"YAR042W"	"SWH1"	"ORF"	1	192532	196307	"W"	1
"YAR050W"	"FLO1"	"ORF"	1	203292	208185	"W"	1
"YAR064W"	"YAR064W"	"ORF"	1	220087	220666	"W"	1
"YAR066W"	"YAR066W"	"ORF"	1	220938	221829	"W"	1
"YAR068W"	"YAR068W"	"ORF"	1	222295	223060	"W"	1
"YAR071W"	"PHO11"	"ORF"	1	225349	227032	"W"	1
"YAR073W"	"IMD1"	"ORF"	1	227732	228944	"W"	0
"YAR075W"	"YAR075W"	"ORF"	1	228834	229308	"W"	0
"YJL225C"	"YJL225C"	"ORF"	10	6232	288	"C"	1
"YJL223C"	"PAU1"	"ORF"	10	9240	8598	"C"	1
"YJL222W"	"VTH2"	"ORF"	10	11373	16302	"W"	1
"YJL221C"	"FSP2"	"ORF"	10	18638	16589	"C"	1
"YJL219W"	"HXT9"	"ORF"	10	19395	21378	"W"	1
"YJL218W"	"YJL218W"	"ORF"	10	21917	22173	"W"	1
"YJL217W"	"YJL217W"	"ORF"	10	23061	23605	"W"	1
"YJL216C"	"YJL216C"	"ORF"	10	26188	24163	"C"	1
"YJL214W"	"HXT8"	"ORF"	10	26785	28774	"W"	1
"YJL213W"	"YJL213W"	"ORF"	10	31813	33165	"W"	1
"YJL212C"	"OPT1"	"ORF"	10	36297	33769	"C"	1
"YJL210W"	"PEX2"	"ORF"	10	36765	37597	"W"	1
"YJL209W"	"CBP1"	"ORF"	10	37909	39381	"W"	1
"YJL208C"	"NUC1"	"ORF"	10	41233	40057	"C"	1
"YJL207C"	"LAA1"	"ORF"	10	47465	47058	"C"	1
"YJL206C"	"YJL206C"	"ORF"	10	50113	47641	"C"	1
"YJL205C"	"NCE101"	"ORF"	10	50545	49961	"C"	1
"YJL204C"	"RCY1"	"ORF"	10	53209	50249	"C"	1
"YJL203W"	"PRP21"	"ORF"	10	53277	54437	"W"	1
"YJL201W"	"ECM25"	"ORF"	10	54277	56356	"W"	1
"YJL200C"	"ACO2"	"ORF"	10	58849	56345	"C"	1
"YJL198W"	"PHO90"	"ORF"	10	60797	62525	"W"	1
"YJL197W"	"UBP12"	"ORF"	10	63733	67525	"W"	1
"YJL196C"	"ELO1"	"ORF"	10	68817	67841	"C"	1
"YJL194W"	"CDC6"	"ORF"	10	69293	70933	"W"	1
"YJL193W"	"YJL193W"	"ORF"	10	71342	71925	"W"	1
"YJL192C"	"SOP4"	"ORF"	10	73449	72625	"C"	1
"YJL191W"	"RPS14B"	"ORF"	10	73741	74213	"W"	1
"YJL190C"	"RPS22A"	"ORF"	10	75369	74841	"C"	1
"YJL189W"	"RPL39"	"ORF"	10	75885	75941	"W"	1
"YJL187C"	"SWE1"	"ORF"	10	79361	76633	"C"	1
"YJL186W"	"MNN5"	"ORF"	10	80117	81965	"W"	1
"YJL185C"	"YJL185C"	"ORF"	10	83016	82009	"C"	1
"YJL184W"	"GON7"	"ORF"	10	83389	83821	"W"	1
"YJL183W"	"MNN11"	"ORF"	10	83997	85053	"W"	1
"YJL181W"	"YJL181W"	"ORF"	10	85629	87437	"W"	1
"YJL180C"	"ATP12"	"ORF"	10	88649	87585	"C"	1
"YJL179W"	"PFD1"	"ORF"	10	88709	89172	"W"	1
"YJL178C"	"ATG27"	"ORF"	10	90129	89154	"C"	1
"YJL177W"	"RPL17B"	"ORF"	10	90693	91101	"W"	1
"YJL176C"	"SWI3"	"ORF"	10	94585	92049	"C"	1
"YJL174W"	"KRE9"	"ORF"	10	94957	96093	"W"	1
"YJL173C"	"RFA3"	"ORF"	10	96553	96153	"C"	1
"YJL172W"	"CPS1"	"ORF"	10	97685	99117	"W"	1
"YJL171C"	"YJL171C"	"ORF"	10	100937	99578	"C"	1
"YJL170C"	"ASG7"	"ORF"	10	101809	101105	"C"	1
"YJL168C"	"SET2"	"ORF"	10	104521	102201	"C"	1
"YJL167W"	"ERG20"	"ORF"	10	104909	106125	"W"	1
"YJL166W"	"QCR8"	"ORF"	10	106317	106829	"W"	1
"YJL165C"	"HAL5"	"ORF"	10	109641	106921	"C"	1
"YJL164C"	"TPK1"	"ORF"	10	111385	109841	"C"	1
"YJL163C"	"YJL163C"	"ORF"	10	113409	111625	"C"	1
"YJL162C"	"JJJ2"	"ORF"	10	115665	114921	"C"	1
"YJL161W"	"YJL161W"	"ORF"	10	117189	117941	"W"	1
"YJL160C"	"YJL160C"	"ORF"	10	118923	117780	"C"	1
"YJL159W"	"HSP150"	"ORF"	10	120381	121853	"W"	1
"YJL158C"	"CIS3"	"ORF"	10	122913	121993	"C"	1
"YJL157C"	"FAR1"	"ORF"	10	126305	123745	"C"	1
"YJL156C"	"SSY5"	"ORF"	10	128945	126569	"C"	1
"YJL155C"	"FBP26"	"ORF"	10	130721	129433	"C"	1
"YJL154C"	"VPS35"	"ORF"	10	133985	130953	"C"	1
"YJL153C"	"INO1"	"ORF"	10	135954	134073	"C"	1
"YJL151C"	"SNA3"	"ORF"	10	136761	136337	"C"	1
"YJL149W"	"YJL149W"	"ORF"	10	137253	139301	"W"	1
"YJL148W"	"RPA34"	"ORF"	10	140277	141197	"W"	1
"YJL147C"	"YJL147C"	"ORF"	10	142585	141097	"C"	1
"YJL146W"	"IDS2"	"ORF"	10	143061	144709	"W"	1
"YJL145W"	"SFH5"	"ORF"	10	144981	146005	"W"	1
"YJL144W"	"YJL144W"	"ORF"	10	146176	146770	"W"	1
"YJL143W"	"TIM17"	"ORF"	10	146965	147805	"W"	1
"YJL141C"	"YAK1"	"ORF"	10	150481	147929	"C"	1
"YJL140W"	"RPB4"	"ORF"	10	150757	151525	"W"	1
"YJL139C"	"YUR1"	"ORF"	10	153009	151625	"C"	1
"YJL138C"	"TIF2"	"ORF"	10	154712	153245	"C"	1
"YJL137C"	"GLG2"	"ORF"	10	156113	154673	"C"	1
"YJL136W-A"	"YJL136W-A"	"ORF"	10	155986	156349	"W"	1
"YJL136C"	"RPS21B"	"ORF"	10	157265	157161	"C"	1
"YJL134W"	"LCB3"	"ORF"	10	158045	159389	"W"	1
"YJL133C-A"	"YJL133C-A"	"ORF"	10	159868	159364	"C"	1
"YJL133W"	"MRS3"	"ORF"	10	160413	161421	"W"	1
"YJL132W"	"YJL132W"	"ORF"	10	161405	162357	"W"	1
"YJL131C"	"YJL131C"	"ORF"	10	165305	164161	"C"	1
"YJL130C"	"URA2"	"ORF"	10	172401	168369	"C"	1
"YJL129C"	"TRK1"	"ORF"	10	177521	174233	"C"	1
"YJL128C"	"PBS2"	"ORF"	10	180225	177905	"C"	1
"YJL127C-B"	"YJL127C-B"	"ORF"	10	181731	181293	"C"	1
"YJL127C"	"SPT10"	"ORF"	10	184241	181697	"C"	1
"YJL126W"	"NIT2"	"ORF"	10	184349	185349	"W"	1
"YJL125C"	"GCD14"	"ORF"	10	186657	185449	"C"	1
"YJL124C"	"LSM1"	"ORF"	10	187737	186817	"C"	1
"YJL123C"	"YJL123C"	"ORF"	10	189393	187969	"C"	1
"YJL122W"	"ALB1"	"ORF"	10	189597	190285	"W"	1
"YJL121C"	"RPE1"	"ORF"	10	191049	190273	"C"	1
"YJL118W"	"YJL118W"	"ORF"	10	191581	192309	"W"	1
"YJL117W"	"PHO86"	"ORF"	10	192373	193493	"W"	1
"YJL116C"	"NCA3"	"ORF"	10	194896	193603	"C"	1
"YJL115W"	"ASF1"	"ORF"	10	196117	197133	"W"	1
"YJL112W"	"MDV1"	"ORF"	10	205125	207365	"W"	1
"YJL111W"	"CCT7"	"ORF"	10	207725	209477	"W"	1
"YJL110C"	"GZF3"	"ORF"	10	211609	209825	"C"	1
"YJL109C"	"UTP10"	"ORF"	10	217257	211889	"C"	1
"YJL108C"	"PRM10"	"ORF"	10	218876	217445	"C"	1
"YJL107C"	"YJL107C"	"ORF"	10	219977	217905	"C"	1
"YJL106W"	"IME2"	"ORF"	10	221206	223423	"W"	1
"YJL105W"	"SET4"	"ORF"	10	224871	226833	"W"	1
"YJL104W"	"PAM16"	"ORF"	10	227197	227861	"W"	1
"YJL103C"	"YJL103C"	"ORF"	10	230992	229137	"C"	1
"YJL102W"	"MEF2"	"ORF"	10	231173	233621	"W"	1
"YJL101C"	"GSH1"	"ORF"	10	236417	234033	"C"	1
"YJL100W"	"LSB6"	"ORF"	10	236741	238989	"W"	1
"YJL099W"	"CHS6"	"ORF"	10	239237	240277	"W"	1
"YJL098W"	"SAP185"	"ORF"	10	241877	245181	"W"	1
"YJL097W"	"PHS1"	"ORF"	10	245437	246077	"W"	1
"YJL096W"	"MRPL49"	"ORF"	10	246357	246861	"W"	1
"YJL095W"	"BCK1"	"ORF"	10	246845	251685	"W"	1
"YJL094C"	"KHA1"	"ORF"	10	254409	251673	"C"	1
"YJL093C"	"TOK1"	"ORF"	10	256713	254649	"C"	1
"YJL092W"	"SRS2"	"ORF"	10	257157	260941	"W"	1
"YJL091C"	"GWT1"	"ORF"	10	262489	260890	"C"	1
"YJL090C"	"DPB11"	"ORF"	10	265049	262625	"C"	1
"YJL089W"	"SIP4"	"ORF"	10	265741	268510	"W"	1
"YJL088W"	"ARG3"	"ORF"	10	268685	269517	"W"	1
"YJL087C"	"TRL1"	"ORF"	10	272489	270209	"C"	1
"YJL085W"	"EXO70"	"ORF"	10	272669	274589	"W"	1
"YJL084C"	"ALY2"	"ORF"	10	278057	275257	"C"	1
"YJL083W"	"TAX4"	"ORF"	10	278693	281045	"W"	1
"YJL082W"	"IML2"	"ORF"	10	281029	283333	"W"	1
"YJL081C"	"ARP4"	"ORF"	10	285240	283697	"C"	1
"YJL080C"	"SCP160"	"ORF"	10	289369	285465	"C"	1
"YJL079C"	"PRY1"	"ORF"	10	290793	289614	"C"	1
"YJL078C"	"PRY3"	"ORF"	10	293985	289633	"C"	1
"YJL077W-B"	"YJL077W-B"	"ORF"	10	293862	294240	"W"	1
"YJL077C"	"ICS3"	"ORF"	10	295080	294405	"C"	1
"YJL076W"	"NET1"	"ORF"	10	295109	298869	"W"	1
"YJL074C"	"SMC3"	"ORF"	10	302793	299441	"C"	1
"YJL073W"	"JEM1"	"ORF"	10	302989	303869	"W"	1
"YJL072C"	"PSF2"	"ORF"	10	305833	305185	"C"	1
"YJL071W"	"ARG2"	"ORF"	10	305957	307797	"W"	1
"YJL070C"	"YJL070C"	"ORF"	10	310569	307913	"C"	1
"YJL069C"	"UTP18"	"ORF"	10	312641	311601	"C"	1
"YJL068C"	"YJL068C"	"ORF"	10	313857	312841	"C"	1
"YJL066C"	"MPM1"	"ORF"	10	314953	313841	"C"	1
"YJL065C"	"DLS1"	"ORF"	10	315576	314793	"C"	1
"YJL063C"	"MRPL8"	"ORF"	10	316449	314937	"C"	1
"YJL062W-A"	"YJL062W-A"	"ORF"	10	316538	317075	"W"	1
"YJL062W"	"LAS21"	"ORF"	10	317165	319677	"W"	1
"YJL061W"	"NUP82"	"ORF"	10	319877	322165	"W"	1
"YJL060W"	"BNA3"	"ORF"	10	323269	324629	"W"	1
"YJL059W"	"YHC3"	"ORF"	10	324853	325685	"W"	1
"YJL058C"	"BIT61"	"ORF"	10	327849	326097	"C"	1
"YJL057C"	"IKS1"	"ORF"	10	330169	329129	"C"	1
"YJL056C"	"ZAP1"	"ORF"	10	333009	330433	"C"	1
"YJL055W"	"YJL055W"	"ORF"	10	333237	333973	"W"	1
"YJL054W"	"TIM54"	"ORF"	10	333957	334189	"W"	1
"YJL053W"	"PEP8"	"ORF"	10	335773	336965	"W"	1
"YJL052C-A"	"YJL052C-A"	"ORF"	10	338022	337623	"C"	1
"YJL052W"	"TDH1"	"ORF"	10	338101	339141	"W"	1
"YJL051W"	"IRC8"	"ORF"	10	339613	342181	"W"	1
"YJL050W"	"MTR4"	"ORF"	10	342373	345661	"W"	1
"YJL049W"	"YJL049W"	"ORF"	10	345869	347237	"W"	1
"YJL048C"	"UBX6"	"ORF"	10	348769	347361	"C"	1
"YJL047C-A"	"YJL047C-A"	"ORF"	10	349197	348783	"C"	1
"YJL047C"	"RTT101"	"ORF"	10	352121	348753	"C"	1
"YJL046W"	"YJL046W"	"ORF"	10	352253	353645	"W"	1
"YJL045W"	"YJL045W"	"ORF"	10	355839	358023	"W"	1
"YJL044C"	"GYP6"	"ORF"	10	359649	358097	"C"	1
"YJL043W"	"YJL043W"	"ORF"	10	359945	360998	"W"	1
"YJL042W"	"MHP1"	"ORF"	10	361085	365325	"W"	1
"YJL041W"	"NSP1"	"ORF"	10	365637	365701	"W"	1
"YJL039C"	"NUP192"	"ORF"	10	373897	368297	"C"	1
"YJL038C"	"YJL038C"	"ORF"	10	375249	375193	"C"	1
"YJL037W"	"IRC18"	"ORF"	10	376477	377431	"W"	1
"YJL036W"	"SNX4"	"ORF"	10	378613	379957	"W"	1
"YJL035C"	"TAD2"	"ORF"	10	380977	380129	"C"	1
"YJL034W"	"KAR2"	"ORF"	10	381190	383429	"W"	1
"YJL033W"	"HCA4"	"ORF"	10	383701	386069	"W"	1
"YJL031C"	"BET4"	"ORF"	10	387448	386289	"C"	1
"YJL030W"	"MAD2"	"ORF"	10	387533	388204	"W"	1
"YJL029C"	"VPS53"	"ORF"	10	390833	388265	"C"	1
"YJL027C"	"YJL027C"	"ORF"	10	392268	391572	"C"	1
"YJL026W"	"RNR2"	"ORF"	10	392245	393661	"W"	1
"YJL025W"	"RRN7"	"ORF"	10	393805	395373	"W"	1
"YJL024C"	"APS3"	"ORF"	10	396545	396489	"C"	1
"YJL023C"	"PET130"	"ORF"	10	398409	397249	"C"	1
"YJL020C"	"BBC1"	"ORF"	10	402417	398849	"C"	1
"YJL019W"	"MPS3"	"ORF"	10	402709	407213	"W"	1
"YJL016W"	"YJL016W"	"ORF"	10	405403	407368	"W"	1
"YJL014W"	"CCT3"	"ORF"	10	407413	409237	"W"	1
"YJL013C"	"MAD3"	"ORF"	10	410945	409369	"C"	1
"YJL012C"	"VTC4"	"ORF"	10	413361	411073	"C"	1
"YJL011C"	"RPC17"	"ORF"	10	414745	414033	"C"	1
"YJL010C"	"NOP9"	"ORF"	10	419521	417473	"C"	1
"YJL008C"	"CCT8"	"ORF"	10	421625	420001	"C"	1
"YJL006C"	"CTK2"	"ORF"	10	424089	423329	"C"	1
"YJL005W"	"CYR1"	"ORF"	10	424933	431245	"W"	1
"YJL004C"	"SYS1"	"ORF"	10	432153	431473	"C"	1
"YJL003W"	"COX16"	"ORF"	10	432517	432812	"W"	1
"YJL002C"	"OST1"	"ORF"	10	434625	433097	"C"	1
"YJL001W"	"PRE3"	"ORF"	10	435021	435141	"W"	1
"YJR001W"	"AVT1"	"ORF"	10	436645	438613	"W"	1
"YJR002W"	"MPP10"	"ORF"	10	438749	440733	"W"	1
"YJR003C"	"YJR003C"	"ORF"	10	442497	440849	"C"	1
"YJR004C"	"SAG1"	"ORF"	10	444878	442646	"C"	1
"YJR005W"	"APL1"	"ORF"	10	445781	447933	"W"	1
"YJR005C-A"	"YJR005C-A"	"ORF"	10	448775	448214	"C"	1
"YJR006W"	"POL31"	"ORF"	10	449101	450565	"W"	1
"YJR007W"	"SUI2"	"ORF"	10	450813	451949	"W"	1
"YJR008W"	"YJR008W"	"ORF"	10	451933	453373	"W"	1
"YJR009C"	"TDH2"	"ORF"	10	454698	453420	"C"	1
"YJR010W"	"MET3"	"ORF"	10	455933	457749	"W"	1
"YJR010C-A"	"SPC1"	"ORF"	10	458321	457833	"C"	1
"YJR011C"	"YJR011C"	"ORF"	10	459401	458305	"C"	1
"YJR013W"	"GPI14"	"ORF"	10	460221	461644	"W"	1
"YJR014W"	"TMA22"	"ORF"	10	461693	462213	"W"	1
"YJR015W"	"YJR015W"	"ORF"	10	462597	464205	"W"	1
"YJR016C"	"ILV3"	"ORF"	10	466145	464345	"C"	1
"YJR017C"	"ESS1"	"ORF"	10	466977	466201	"C"	1
"YJR019C"	"TES1"	"ORF"	10	468233	467113	"C"	1
"YJR021C"	"REC107"	"ORF"	10	469569	468393	"C"	1
"YJR022W"	"LSM8"	"ORF"	10	469653	470149	"W"	1
"YJR024C"	"YJR024C"	"ORF"	10	470897	470121	"C"	1
"YJR025C"	"BNA1"	"ORF"	10	471737	471065	"C"	1
"YJR030C"	"YJR030C"	"ORF"	10	486161	484033	"C"	1
"YJR031C"	"GEA1"	"ORF"	10	490809	486369	"C"	1
"YJR032W"	"CPR7"	"ORF"	10	490973	492237	"W"	1
"YJR033C"	"RAV1"	"ORF"	10	496417	492369	"C"	1
"YJR034W"	"PET191"	"ORF"	10	496493	496901	"W"	1
"YJR035W"	"RAD26"	"ORF"	10	496885	500557	"W"	1
"YJR036C"	"HUL4"	"ORF"	10	503600	500545	"C"	1
"YJR039W"	"YJR039W"	"ORF"	10	503749	507005	"W"	1
"YJR040W"	"GEF1"	"ORF"	10	507605	510061	"W"	1
"YJR041C"	"URB2"	"ORF"	10	513745	510017	"C"	1
"YJR042W"	"NUP85"	"ORF"	10	513933	515917	"W"	1
"YJR043C"	"POL32"	"ORF"	10	517481	516401	"C"	1
"YJR044C"	"VPS55"	"ORF"	10	519217	518617	"C"	1
"YJR045C"	"SSC1"	"ORF"	10	521665	519401	"C"	1
"YJR046W"	"TAH11"	"ORF"	10	521941	523645	"W"	1
"YJR047C"	"ANB1"	"ORF"	10	525361	524833	"C"	1
"YJR048W"	"CYC1"	"ORF"	10	526173	526741	"W"	1
"YJR049C"	"UTR1"	"ORF"	10	528425	526681	"C"	1
"YJR050W"	"ISY1"	"ORF"	10	528581	529437	"W"	1
"YJR051W"	"OSM1"	"ORF"	10	529749	531349	"W"	1
"YJR052W"	"RAD7"	"ORF"	10	531949	533477	"W"	1
"YJR053W"	"BFA1"	"ORF"	10	533461	535885	"W"	1
"YJR054W"	"YJR054W"	"ORF"	10	535869	537517	"W"	1
"YJR055W"	"HIT1"	"ORF"	10	538669	539597	"W"	1
"YJR056C"	"YJR056C"	"ORF"	10	542593	541577	"C"	1
"YJR057W"	"CDC8"	"ORF"	10	543957	544613	"W"	1
"YJR058C"	"APS2"	"ORF"	10	545337	544649	"C"	1
"YJR059W"	"PTK2"	"ORF"	10	545613	548317	"W"	1
"YJR060W"	"CBF1"	"ORF"	10	548573	550229	"W"	1
"YJR061W"	"YJR061W"	"ORF"	10	550397	553333	"W"	1
"YJR062C"	"NTA1"	"ORF"	10	554785	553137	"C"	1
"YJR063W"	"RPA12"	"ORF"	10	555053	555549	"W"	1
"YJR064W"	"CCT5"	"ORF"	10	555765	556829	"W"	1
"YJR065C"	"ARP3"	"ORF"	10	559105	557569	"C"	1
"YJR066W"	"TOR1"	"ORF"	10	559293	565365	"W"	1
"YJR067C"	"YAE1"	"ORF"	10	567409	566809	"C"	1
"YJR068W"	"RFC2"	"ORF"	10	567493	568693	"W"	1
"YJR069C"	"HAM1"	"ORF"	10	569369	568609	"C"	1
"YJR070C"	"LIA1"	"ORF"	10	570601	569457	"C"	1
"YJR072C"	"NPA3"	"ORF"	10	572081	570809	"C"	1
"YJR073C"	"OPI3"	"ORF"	10	572889	572161	"C"	1
"YJR074W"	"MOG1"	"ORF"	10	573085	573797	"W"	1
"YJR075W"	"HOC1"	"ORF"	10	573837	575261	"W"	1
"YJR076C"	"CDC11"	"ORF"	10	576593	575257	"C"	1
"YJR077C"	"MIR1"	"ORF"	10	578153	577041	"C"	1
"YJR078W"	"BNA2"	"ORF"	10	578673	580314	"W"	1
"YJR079W"	"YJR079W"	"ORF"	10	580018	581332	"W"	1
"YJR080C"	"YJR080C"	"ORF"	10	581577	580201	"C"	1
"YJR082C"	"EAF6"	"ORF"	10	582289	581625	"C"	1
"YJR083C"	"ACF4"	"ORF"	10	583489	582561	"C"	1
"YJR084W"	"CSN12"	"ORF"	10	583550	585285	"W"	1
"YJR085C"	"YJR085C"	"ORF"	10	585401	584961	"C"	1
"YJR086W"	"STE18"	"ORF"	10	585949	586141	"W"	1
"YJR088C"	"YJR088C"	"ORF"	10	587337	586297	"C"	1
"YJR089W"	"BIR1"	"ORF"	10	587629	590517	"W"	1
"YJR090C"	"GRR1"	"ORF"	10	594537	594121	"C"	1
"YJR091C"	"JSN1"	"ORF"	10	598273	594753	"C"	1
"YJR092W"	"BUD4"	"ORF"	10	598621	603109	"W"	1
"YJR093C"	"FIP1"	"ORF"	10	604201	603113	"C"	1
"YJR094C"	"IME1"	"ORF"	10	605713	604425	"C"	1
"YJR094W-A"	"RPL43B"	"ORF"	10	608157	608517	"W"	1
"YJR095W"	"SFC1"	"ORF"	10	609589	610837	"W"	1
"YJR096W"	"YJR096W"	"ORF"	10	610973	611981	"W"	1
"YJR097W"	"JJJ3"	"ORF"	10	612237	612885	"W"	1
"YJR098C"	"YJR098C"	"ORF"	10	615161	612921	"C"	1
"YJR099W"	"YUH1"	"ORF"	10	615389	616309	"W"	1
"YJR100C"	"YJR100C"	"ORF"	10	617313	616249	"C"	1
"YJR101W"	"RSM26"	"ORF"	10	618053	619021	"W"	1
"YJR102C"	"VPS25"	"ORF"	10	619825	618985	"C"	1
"YJR103W"	"URA8"	"ORF"	10	620605	622413	"W"	1
"YJR104C"	"SOD1"	"ORF"	10	622977	622377	"C"	1
"YJR105W"	"ADO1"	"ORF"	10	623437	624565	"W"	1
"YJR106W"	"ECM27"	"ORF"	10	624725	628325	"W"	1
"YJR107W"	"YJR107W"	"ORF"	10	627153	628419	"W"	1
"YJR108W"	"ABM1"	"ORF"	10	628797	629501	"W"	1
"YJR109C"	"CPA2"	"ORF"	10	632905	630321	"C"	1
"YJR110W"	"YMR1"	"ORF"	10	633398	635741	"W"	1
"YJR111C"	"YJR111C"	"ORF"	10	636729	635729	"C"	1
